DATAFLOW,LAST UPDATE,freq,tra_infr,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,CHARLEROI/BRUSSELS SOUTH airport,2021,25,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BURGAS airport,2021,31,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BURGAS airport,2022,31,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,BURGAS airport,2023,31,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GORNA ORYAHOVITSA airport,2021,1,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GORNA ORYAHOVITSA airport,2022,1,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GORNA ORYAHOVITSA airport,2023,1,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PLOVDIV airport,2021,9,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PLOVDIV airport,2022,9,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PLOVDIV airport,2023,9,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2003,20,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2004,20,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2005,20,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2007,53,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2008,53,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2009,80,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2010,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2011,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2012,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2013,52,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2014,67,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2021,67,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2022,67,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,SOFIA airport,2023,59,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,VARNA airport,2021,25,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,VARNA airport,2022,25,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,VARNA airport,2023,25,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2003,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2004,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2006,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2007,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2008,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2009,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2010,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2011,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2012,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2013,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2014,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2015,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2016,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2017,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2018,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2019,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2020,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2021,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2022,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,GENEVA airport,2023,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2003,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2004,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2006,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2007,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2008,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2009,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2010,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2011,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2012,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2013,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2014,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2015,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2016,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2017,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2018,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2019,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2020,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2021,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2022,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,ZURICH airport,2023,110,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2003,48,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2004,48,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2005,48,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2006,48,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2007,54,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2008,54,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2009,64,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2010,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2011,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2012,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2013,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2014,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2015,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2016,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2017,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2018,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2019,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2020,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2021,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2022,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,LARNAKA/INTL airport,2023,72,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2003,16,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2004,22,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2005,22,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2006,16,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2007,16,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2008,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2009,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2010,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2011,16,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2012,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2013,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2014,28,,
ESTAT:AVIA_IF_TYP(1.0),20/02/26 23:00:00,Annual,Check-in facilities,PAFOS/INTL airport,2015,28,,
